municipio_cod,municipio_fato,data_fato,mes,ano,risp,rmbh,tentado_consumado,qtde_vitimas
313620,JOAO MONLEVADE,2022-04-07,4,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
313630,JOAO PINHEIRO,2022-08-07,8,2022,16º Departamento - Unaí,3) Interior de MG,TENTADO,2
313650,JORDANIA,2022-08-31,8,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,TENTADO,1
313652,JOSE GONCALVES DE MINAS,2022-09-14,9,2022,14º Departamento - Curvelo,3) Interior de MG,TENTADO,1
313660,NOVA UNIAO,2022-12-06,12,2022,3º Departamento - Vespasiano,2) RMBH (sem BH),TENTADO,1
313670,JUIZ DE FORA,2022-05-25,5,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
313670,JUIZ DE FORA,2022-08-26,8,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
313670,JUIZ DE FORA,2022-09-03,9,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
313670,JUIZ DE FORA,2022-11-28,11,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,2
313700,LADAINHA,2022-09-28,9,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,TENTADO,1
313760,LAGOA SANTA,2022-02-15,2,2022,3º Departamento - Vespasiano,2) RMBH (sem BH),TENTADO,1
313820,LAVRAS,2022-12-17,12,2022,6º Departamento - Lavras,3) Interior de MG,TENTADO,1
313830,LEANDRO FERREIRA,2022-04-23,4,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
313940,MANHUACU,2022-08-05,8,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
313950,MANHUMIRIM,2022-11-08,11,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
313980,MAR DE ESPANHA,2022-02-26,2,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
314000,MARIANA,2022-09-27,9,2022,3º Departamento - Vespasiano,3) Interior de MG,TENTADO,1
314070,MATEUS LEME,2022-04-21,4,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
314280,MONTE ALEGRE DE MINAS,2022-12-03,12,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
314310,MONTE CARMELO,2022-08-23,8,2022,10º Departamento - Patos de Minas,3) Interior de MG,TENTADO,1
314330,MONTES CLAROS,2022-07-24,7,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
314330,MONTES CLAROS,2022-12-31,12,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
314435,NAQUE,2022-11-13,11,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
314480,NOVA LIMA,2022-09-15,9,2022,3º Departamento - Vespasiano,2) RMBH (sem BH),TENTADO,1
314520,NOVA SERRANA,2022-04-24,4,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
314520,NOVA SERRANA,2022-06-18,6,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
314625,PADRE CARVALHO,2022-05-01,5,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
314700,PARACATU,2022-10-08,10,2022,16º Departamento - Unaí,3) Interior de MG,TENTADO,1
314710,PARA DE MINAS,2022-05-13,5,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
314720,PARAGUACU,2022-02-22,2,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,1
314800,PATOS DE MINAS,2022-01-04,1,2022,10º Departamento - Patos de Minas,3) Interior de MG,TENTADO,1
314800,PATOS DE MINAS,2022-11-17,11,2022,10º Departamento - Patos de Minas,3) Interior de MG,TENTADO,1
314810,PATROCINIO,2022-07-19,7,2022,10º Departamento - Patos de Minas,3) Interior de MG,TENTADO,1
314880,PEDRA DO ANTA,2022-09-23,9,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
314970,PERDIGAO,2022-09-03,9,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
315053,PINGO D'AGUA,2022-08-06,8,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
315100,PIRANGUINHO,2022-07-04,7,2022,17º Departamento - Pouso Alegre,3) Interior de MG,TENTADO,1
315170,POCO FUNDO,2022-03-12,3,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,1
315180,POCOS DE CALDAS,2022-05-31,5,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,1
315210,PONTE NOVA,2022-07-15,7,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
315250,POUSO ALEGRE,2022-04-16,4,2022,17º Departamento - Pouso Alegre,3) Interior de MG,TENTADO,1
315250,POUSO ALEGRE,2022-09-28,9,2022,17º Departamento - Pouso Alegre,3) Interior de MG,TENTADO,1
315380,QUELUZITO,2022-11-14,11,2022,13º Departamento - Barbacena,3) Interior de MG,TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-02-25,2,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-05-22,5,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-06-04,6,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-08-25,8,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-09-05,9,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-09-06,9,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-10-16,10,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315460,RIBEIRAO DAS NEVES,2022-11-09,11,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
315490,RIO CASCA,2022-05-14,5,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
315670,SABARA,2022-02-04,2,2022,3º Departamento - Vespasiano,2) RMBH (sem BH),TENTADO,1
315690,SACRAMENTO,2022-02-27,2,2022,5º Departamento - Uberaba,3) Interior de MG,TENTADO,1
315690,SACRAMENTO,2022-05-29,5,2022,5º Departamento - Uberaba,3) Interior de MG,TENTADO,1
315727,SANTA BARBARA DO MONTE VERDE,2022-11-16,11,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
315780,SANTA LUZIA,2022-02-10,2,2022,3º Departamento - Vespasiano,2) RMBH (sem BH),TENTADO,1
315780,SANTA LUZIA,2022-02-15,2,2022,3º Departamento - Vespasiano,2) RMBH (sem BH),TENTADO,2
315780,SANTA LUZIA,2022-10-23,10,2022,3º Departamento - Vespasiano,2) RMBH (sem BH),TENTADO,1
315790,SANTA MARGARIDA,2022-01-15,1,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
315895,SANTANA DO PARAISO,2022-04-30,4,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
315895,SANTANA DO PARAISO,2022-11-15,11,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
315960,SANTA RITA DO SAPUCAI,2022-12-07,12,2022,17º Departamento - Pouso Alegre,3) Interior de MG,TENTADO,1
316110,SAO FRANCISCO,2022-05-27,5,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
316150,SAO GERALDO,2022-03-19,3,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
316180,SAO GONCALO DO PARA,2022-12-22,12,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
316210,SAO GOTARDO,2022-06-24,6,2022,10º Departamento - Patos de Minas,3) Interior de MG,TENTADO,1
316210,SAO GOTARDO,2022-10-15,10,2022,10º Departamento - Patos de Minas,3) Interior de MG,TENTADO,1
316225,SAO JOAO DA LAGOA,2022-03-18,3,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
316250,SAO JOAO DEL REI,2022-02-14,2,2022,13º Departamento - Barbacena,3) Interior de MG,TENTADO,1
316260,SAO JOAO DO ORIENTE,2022-05-21,5,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
316340,SAO JOSE DO GOIABAL,2022-03-26,3,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
316400,SAO PEDRO DOS FERROS,2022-10-03,10,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
316470,SAO SEBASTIAO PARAISO,2022-12-17,12,2022,18º Departamento - Poços de Caldas,3) Interior de MG,TENTADO,1
316553,SARZEDO,2022-11-13,11,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
316720,SETE LAGOAS,2022-01-19,1,2022,19º Departamento - Sete Lagoas,3) Interior de MG,TENTADO,1
316720,SETE LAGOAS,2022-01-25,1,2022,19º Departamento - Sete Lagoas,3) Interior de MG,TENTADO,1
316720,SETE LAGOAS,2022-01-29,1,2022,19º Departamento - Sete Lagoas,3) Interior de MG,TENTADO,1
316860,TEOFILO OTONI,2022-06-03,6,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,TENTADO,1
